tournament_id,round_num,match_id,player1_id,player1_strategy,player2_id,player2_strategy,winner_id,player1_score,player2_score,draw
1,1,R1_M1,P01,Pattern,P02,Random,P02,2,3,False
1,1,R1_M2,P03,Random,P04,Pattern,DRAW,2,2,True
1,2,R2_M1,P01,Frequency,P03,Random,P03,1,3,False
1,2,R2_M2,P02,Random,P04,Random,P04,2,3,False
1,3,R3_M1,P01,Pattern,P04,Random,DRAW,2,2,True
1,3,R3_M2,P02,Pattern,P03,Pattern,DRAW,2,2,True
2,1,R1_M1,P01,Pattern,P02,Random,DRAW,2,2,True
2,1,R1_M2,P03,Pattern,P04,Frequency,P04,1,3,False
2,2,R2_M1,P01,Random,P03,Random,P03,2,3,False
2,2,R2_M2,P02,Random,P04,Random,P04,2,3,False
2,3,R3_M1,P01,Random,P04,Pattern,DRAW,2,2,True
2,3,R3_M2,P02,Pattern,P03,Random,DRAW,2,2,True
3,1,R1_M1,P01,Pattern,P02,Random,P02,2,3,False
3,1,R1_M2,P03,Pattern,P04,Pattern,P04,1,3,False
3,2,R2_M1,P01,Pattern,P03,Pattern,DRAW,2,2,True
3,2,R2_M2,P02,Frequency,P04,Random,P02,3,2,False
3,3,R3_M1,P01,Frequency,P04,Pattern,P01,3,2,False
3,3,R3_M2,P02,Frequency,P03,Random,P02,3,2,False
4,1,R1_M1,P01,Random,P02,Pattern,DRAW,2,2,True
4,1,R1_M2,P03,Frequency,P04,Frequency,P04,2,3,False
4,2,R2_M1,P01,Frequency,P03,Random,P03,1,3,False
4,2,R2_M2,P02,Random,P04,Frequency,P04,1,3,False
4,3,R3_M1,P01,Random,P04,Random,P01,3,2,False
4,3,R3_M2,P02,Frequency,P03,Random,P02,3,2,False
5,1,R1_M1,P01,Frequency,P02,Frequency,P01,3,2,False
5,1,R1_M2,P03,Pattern,P04,Frequency,P03,3,1,False
5,2,R2_M1,P01,Random,P03,Pattern,P03,1,3,False
5,2,R2_M2,P02,Frequency,P04,Pattern,P02,3,2,False
5,3,R3_M1,P01,Random,P04,Frequency,P04,2,3,False
5,3,R3_M2,P02,Random,P03,Pattern,DRAW,2,2,True
6,1,R1_M1,P01,Frequency,P02,Pattern,DRAW,2,2,True
6,1,R1_M2,P03,Pattern,P04,Frequency,P04,1,3,False
6,2,R2_M1,P01,Pattern,P03,Random,P03,2,3,False
6,2,R2_M2,P02,Pattern,P04,Random,P04,2,3,False
6,3,R3_M1,P01,Random,P04,Pattern,DRAW,2,2,True
6,3,R3_M2,P02,Random,P03,Frequency,P02,3,1,False
7,1,R1_M1,P01,Random,P02,Random,P01,3,2,False
7,1,R1_M2,P03,Random,P04,Frequency,P03,3,1,False
7,2,R2_M1,P01,Frequency,P03,Frequency,P03,1,3,False
7,2,R2_M2,P02,Pattern,P04,Frequency,DRAW,2,2,True
7,3,R3_M1,P01,Random,P04,Frequency,DRAW,2,2,True
7,3,R3_M2,P02,Frequency,P03,Random,P02,3,2,False
8,1,R1_M1,P01,Pattern,P02,Frequency,P01,3,2,False
8,1,R1_M2,P03,Pattern,P04,Pattern,P03,3,1,False
8,2,R2_M1,P01,Pattern,P03,Random,P03,1,3,False
8,2,R2_M2,P02,Pattern,P04,Pattern,P04,2,3,False
8,3,R3_M1,P01,Random,P04,Pattern,P04,2,3,False
8,3,R3_M2,P02,Pattern,P03,Random,P02,3,1,False
9,1,R1_M1,P01,Random,P02,Frequency,DRAW,2,2,True
9,1,R1_M2,P03,Frequency,P04,Frequency,P04,1,3,False
9,2,R2_M1,P01,Pattern,P03,Pattern,P01,3,1,False
9,2,R2_M2,P02,Pattern,P04,Random,P02,3,2,False
9,3,R3_M1,P01,Pattern,P04,Frequency,DRAW,2,2,True
9,3,R3_M2,P02,Random,P03,Random,DRAW,2,2,True
10,1,R1_M1,P01,Random,P02,Frequency,P01,3,2,False
10,1,R1_M2,P03,Frequency,P04,Frequency,DRAW,2,2,True
10,2,R2_M1,P01,Random,P03,Random,P01,3,1,False
10,2,R2_M2,P02,Pattern,P04,Pattern,P04,2,3,False
10,3,R3_M1,P01,Frequency,P04,Random,P04,2,3,False
10,3,R3_M2,P02,Pattern,P03,Frequency,DRAW,2,2,True
11,1,R1_M1,P01,Frequency,P02,Pattern,P01,3,2,False
11,1,R1_M2,P03,Frequency,P04,Random,P04,1,3,False
11,2,R2_M1,P01,Frequency,P03,Random,P01,3,2,False
11,2,R2_M2,P02,Random,P04,Pattern,P04,2,3,False
11,3,R3_M1,P01,Pattern,P04,Pattern,DRAW,2,2,True
11,3,R3_M2,P02,Frequency,P03,Pattern,P03,2,3,False
12,1,R1_M1,P01,Pattern,P02,Frequency,P02,2,3,False
12,1,R1_M2,P03,Pattern,P04,Frequency,P03,3,2,False
12,2,R2_M1,P01,Frequency,P03,Random,P03,1,3,False
12,2,R2_M2,P02,Random,P04,Pattern,P02,3,2,False
12,3,R3_M1,P01,Frequency,P04,Random,DRAW,2,2,True
12,3,R3_M2,P02,Random,P03,Random,P03,2,3,False
13,1,R1_M1,P01,Random,P02,Pattern,DRAW,2,2,True
13,1,R1_M2,P03,Random,P04,Pattern,P04,1,3,False
13,2,R2_M1,P01,Frequency,P03,Pattern,DRAW,2,2,True
13,2,R2_M2,P02,Random,P04,Frequency,P04,2,3,False
13,3,R3_M1,P01,Frequency,P04,Pattern,P01,3,1,False
13,3,R3_M2,P02,Frequency,P03,Pattern,DRAW,2,2,True
14,1,R1_M1,P01,Frequency,P02,Pattern,DRAW,2,2,True
14,1,R1_M2,P03,Random,P04,Pattern,P04,2,3,False
14,2,R2_M1,P01,Pattern,P03,Random,P01,3,2,False
14,2,R2_M2,P02,Pattern,P04,Pattern,P02,3,1,False
14,3,R3_M1,P01,Frequency,P04,Pattern,DRAW,2,2,True
14,3,R3_M2,P02,Frequency,P03,Random,P03,1,3,False
15,1,R1_M1,P01,Frequency,P02,Frequency,DRAW,2,2,True
15,1,R1_M2,P03,Random,P04,Frequency,P03,3,1,False
15,2,R2_M1,P01,Random,P03,Pattern,P03,2,3,False
15,2,R2_M2,P02,Pattern,P04,Frequency,P02,3,2,False
15,3,R3_M1,P01,Pattern,P04,Random,DRAW,2,2,True
15,3,R3_M2,P02,Pattern,P03,Random,P02,3,1,False
16,1,R1_M1,P01,Pattern,P02,Frequency,P02,2,3,False
16,1,R1_M2,P03,Pattern,P04,Pattern,DRAW,2,2,True
16,2,R2_M1,P01,Pattern,P03,Random,P03,1,3,False
16,2,R2_M2,P02,Random,P04,Frequency,P02,3,1,False
16,3,R3_M1,P01,Random,P04,Pattern,DRAW,2,2,True
16,3,R3_M2,P02,Pattern,P03,Random,P03,2,3,False
17,1,R1_M1,P01,Pattern,P02,Frequency,P01,3,2,False
17,1,R1_M2,P03,Frequency,P04,Random,P04,2,3,False
17,2,R2_M1,P01,Random,P03,Frequency,DRAW,2,2,True
17,2,R2_M2,P02,Frequency,P04,Random,P04,1,3,False
17,3,R3_M1,P01,Random,P04,Random,P04,1,3,False
17,3,R3_M2,P02,Pattern,P03,Random,P02,3,1,False
18,1,R1_M1,P01,Random,P02,Pattern,DRAW,2,2,True
18,1,R1_M2,P03,Frequency,P04,Random,DRAW,2,2,True
18,2,R2_M1,P01,Pattern,P03,Random,DRAW,2,2,True
18,2,R2_M2,P02,Random,P04,Pattern,P04,2,3,False
18,3,R3_M1,P01,Frequency,P04,Pattern,P01,3,2,False
18,3,R3_M2,P02,Random,P03,Frequency,P02,3,2,False
19,1,R1_M1,P01,Pattern,P02,Pattern,DRAW,2,2,True
19,1,R1_M2,P03,Frequency,P04,Random,P03,3,2,False
19,2,R2_M1,P01,Pattern,P03,Pattern,P03,2,3,False
19,2,R2_M2,P02,Pattern,P04,Random,DRAW,2,2,True
19,3,R3_M1,P01,Pattern,P04,Frequency,P04,2,3,False
19,3,R3_M2,P02,Frequency,P03,Pattern,P02,3,1,False
20,1,R1_M1,P01,Pattern,P02,Frequency,P02,1,3,False
20,1,R1_M2,P03,Frequency,P04,Pattern,DRAW,2,2,True
20,2,R2_M1,P01,Frequency,P03,Random,DRAW,2,2,True
20,2,R2_M2,P02,Random,P04,Random,P04,1,3,False
20,3,R3_M1,P01,Random,P04,Frequency,DRAW,2,2,True
20,3,R3_M2,P02,Random,P03,Pattern,P02,3,2,False
21,1,R1_M1,P01,Pattern,P02,Random,DRAW,2,2,True
21,1,R1_M2,P03,Pattern,P04,Random,P04,2,3,False
21,2,R2_M1,P01,Random,P03,Random,P01,3,1,False
21,2,R2_M2,P02,Pattern,P04,Pattern,P02,3,1,False
21,3,R3_M1,P01,Random,P04,Random,P04,2,3,False
21,3,R3_M2,P02,Random,P03,Random,P02,3,1,False
22,1,R1_M1,P01,Frequency,P02,Random,P01,3,1,False
22,1,R1_M2,P03,Pattern,P04,Random,P04,2,3,False
22,2,R2_M1,P01,Frequency,P03,Pattern,P03,2,3,False
22,2,R2_M2,P02,Frequency,P04,Random,DRAW,2,2,True
22,3,R3_M1,P01,Pattern,P04,Random,DRAW,2,2,True
22,3,R3_M2,P02,Pattern,P03,Pattern,DRAW,2,2,True
23,1,R1_M1,P01,Pattern,P02,Frequency,P01,3,2,False
23,1,R1_M2,P03,Random,P04,Frequency,DRAW,2,2,True
23,2,R2_M1,P01,Frequency,P03,Random,P01,3,2,False
23,2,R2_M2,P02,Random,P04,Random,DRAW,2,2,True
23,3,R3_M1,P01,Pattern,P04,Frequency,P04,2,3,False
23,3,R3_M2,P02,Frequency,P03,Frequency,P02,3,2,False
24,1,R1_M1,P01,Frequency,P02,Frequency,P01,3,2,False
24,1,R1_M2,P03,Pattern,P04,Random,P04,1,3,False
24,2,R2_M1,P01,Pattern,P03,Pattern,P03,1,3,False
24,2,R2_M2,P02,Pattern,P04,Random,DRAW,2,2,True
24,3,R3_M1,P01,Random,P04,Frequency,P04,2,3,False
24,3,R3_M2,P02,Pattern,P03,Frequency,P02,3,2,False
25,1,R1_M1,P01,Random,P02,Random,P02,1,3,False
25,1,R1_M2,P03,Random,P04,Random,P03,3,2,False
25,2,R2_M1,P01,Pattern,P03,Frequency,P01,3,1,False
25,2,R2_M2,P02,Random,P04,Frequency,DRAW,2,2,True
25,3,R3_M1,P01,Random,P04,Frequency,DRAW,2,2,True
25,3,R3_M2,P02,Frequency,P03,Random,DRAW,2,2,True
26,1,R1_M1,P01,Random,P02,Frequency,P01,3,1,False
26,1,R1_M2,P03,Pattern,P04,Random,P04,1,3,False
26,2,R2_M1,P01,Random,P03,Pattern,P01,3,1,False
26,2,R2_M2,P02,Pattern,P04,Random,P02,3,1,False
26,3,R3_M1,P01,Random,P04,Random,DRAW,2,2,True
26,3,R3_M2,P02,Random,P03,Frequency,P02,3,1,False
27,1,R1_M1,P01,Frequency,P02,Frequency,P02,1,3,False
27,1,R1_M2,P03,Random,P04,Frequency,DRAW,2,2,True
27,2,R2_M1,P01,Random,P03,Random,P01,3,2,False
27,2,R2_M2,P02,Frequency,P04,Random,P02,3,1,False
27,3,R3_M1,P01,Frequency,P04,Frequency,DRAW,2,2,True
27,3,R3_M2,P02,Frequency,P03,Frequency,P03,1,3,False
28,1,R1_M1,P01,Frequency,P02,Pattern,P01,3,1,False
28,1,R1_M2,P03,Pattern,P04,Pattern,P03,3,1,False
28,2,R2_M1,P01,Pattern,P03,Pattern,P03,1,3,False
28,2,R2_M2,P02,Frequency,P04,Random,DRAW,2,2,True
28,3,R3_M1,P01,Random,P04,Frequency,P04,1,3,False
28,3,R3_M2,P02,Random,P03,Random,P02,3,2,False
29,1,R1_M1,P01,Pattern,P02,Pattern,P01,3,1,False
29,1,R1_M2,P03,Pattern,P04,Random,DRAW,2,2,True
29,2,R2_M1,P01,Pattern,P03,Frequency,P03,1,3,False
29,2,R2_M2,P02,Random,P04,Random,DRAW,2,2,True
29,3,R3_M1,P01,Pattern,P04,Frequency,P01,3,2,False
29,3,R3_M2,P02,Pattern,P03,Pattern,P03,2,3,False
30,1,R1_M1,P01,Random,P02,Random,DRAW,2,2,True
30,1,R1_M2,P03,Pattern,P04,Random,DRAW,2,2,True
30,2,R2_M1,P01,Random,P03,Random,P01,3,2,False
30,2,R2_M2,P02,Pattern,P04,Random,DRAW,2,2,True
30,3,R3_M1,P01,Pattern,P04,Random,P01,3,1,False
30,3,R3_M2,P02,Frequency,P03,Random,DRAW,2,2,True
31,1,R1_M1,P01,Pattern,P02,Random,DRAW,2,2,True
